,period,Autumn,Autumn
0,"arid_[-1.0, -0.8)",0.035725728,0.035725728
1,"arid_[-0.8, -0.6)",0.07081944,0.07081944
2,"arid_[-0.6, -0.4)",0.020712151,0.020712151
3,"arid_[-0.4, -0.2)",0.000467728,0.000467728
4,"arid_[-0.2, 0.0)",0,0
5,"arid_[0.0, 0.2)",0,0
6,"arid_[0.2, 0.4)",0.000786694,0.000786694
7,"arid_[0.4, 0.6)",0.038492586,0.038492586
8,"arid_[0.6, 0.8)",0.304578063,0.304578063
9,"arid_[0.8, 1.0)",0.528417611,0.528417611
10,"boreal_[-1.0, -0.8)",0.15201961,0.15201961
11,"boreal_[-0.8, -0.6)",0.260542329,0.260542329
12,"boreal_[-0.6, -0.4)",0.056107217,0.056107217
13,"boreal_[-0.4, -0.2)",0.000753461,0.000753461
14,"boreal_[-0.2, 0.0)",0,0
15,"boreal_[0.0, 0.2)",0,0
16,"boreal_[0.2, 0.4)",0.000619419,0.000619419
17,"boreal_[0.4, 0.6)",0.046031849,0.046031849
18,"boreal_[0.6, 0.8)",0.266862744,0.266862744
19,"boreal_[0.8, 1.0)",0.217063371,0.217063371
20,"equatorial_[-1.0, -0.8)",0.093362119,0.093362119
21,"equatorial_[-0.8, -0.6)",0.15453704,0.15453704
22,"equatorial_[-0.6, -0.4)",0.045727109,0.045727109
23,"equatorial_[-0.4, -0.2)",0.001217546,0.001217546
24,"equatorial_[-0.2, 0.0)",9.66E-06,9.66E-06
25,"equatorial_[0.0, 0.2)",0,0
26,"equatorial_[0.2, 0.4)",0.001192323,0.001192323
27,"equatorial_[0.4, 0.6)",0.053785025,0.053785025
28,"equatorial_[0.6, 0.8)",0.302064634,0.302064634
29,"equatorial_[0.8, 1.0)",0.348104548,0.348104548
30,"ocean_[-1.0, -0.8)",0.101883498,0.101883498
31,"ocean_[-0.8, -0.6)",0.166331023,0.166331023
32,"ocean_[-0.6, -0.4)",0.057147187,0.057147187
33,"ocean_[-0.4, -0.2)",0.00042284,0.00042284
34,"ocean_[-0.2, 0.0)",0,0
35,"ocean_[0.0, 0.2)",0,0
36,"ocean_[0.2, 0.4)",0.004658893,0.004658893
37,"ocean_[0.4, 0.6)",0.059135982,0.059135982
38,"ocean_[0.6, 0.8)",0.257494748,0.257494748
39,"ocean_[0.8, 1.0)",0.352925828,0.352925828
40,"polar_[-1.0, -0.8)",0.161790133,0.161790133
41,"polar_[-0.8, -0.6)",0.28610322,0.28610322
42,"polar_[-0.6, -0.4)",0.071825292,0.071825292
43,"polar_[-0.4, -0.2)",0.001975732,0.001975732
44,"polar_[-0.2, 0.0)",0,0
45,"polar_[0.0, 0.2)",0,0
46,"polar_[0.2, 0.4)",0.001246884,0.001246884
47,"polar_[0.4, 0.6)",0.056402905,0.056402905
48,"polar_[0.6, 0.8)",0.244687839,0.244687839
49,"polar_[0.8, 1.0)",0.175967995,0.175967995
50,"warm_temperate_[-1.0, -0.8)",0.09783476,0.09783476
51,"warm_temperate_[-0.8, -0.6)",0.140288205,0.140288205
52,"warm_temperate_[-0.6, -0.4)",0.033734861,0.033734861
53,"warm_temperate_[-0.4, -0.2)",0.000540539,0.000540539
54,"warm_temperate_[-0.2, 0.0)",1.31E-05,1.31E-05
55,"warm_temperate_[0.0, 0.2)",0,0
56,"warm_temperate_[0.2, 0.4)",0.000446823,0.000446823
57,"warm_temperate_[0.4, 0.6)",0.037239698,0.037239698
58,"warm_temperate_[0.6, 0.8)",0.275570186,0.275570186
59,"warm_temperate_[0.8, 1.0)",0.414331801,0.414331801
