,period,Summer,Summer
0,"arid_[1.0, 2.0)",0.295081722,0.295081722
1,"arid_[2.0, 3.0)",0.136246392,0.136246392
2,"arid_[3.0, 6.0)",0.203014928,0.203014928
3,"arid_[6.0, 12.0)",0.172447156,0.172447156
4,"arid_[12.0, 18.0)",0.065641246,0.065641246
5,"arid_[18.0, 24.0)",0.031865048,0.031865048
6,"arid_[24.0, 48.0)",0.095703507,0.095703507
7,"boreal_[1.0, 2.0)",0.209494084,0.209494084
8,"boreal_[2.0, 3.0)",0.099050412,0.099050412
9,"boreal_[3.0, 6.0)",0.135561268,0.135561268
10,"boreal_[6.0, 12.0)",0.132908487,0.132908487
11,"boreal_[12.0, 18.0)",0.083731143,0.083731143
12,"boreal_[18.0, 24.0)",0.072494714,0.072494714
13,"boreal_[24.0, 48.0)",0.266759892,0.266759892
14,"equatorial_[1.0, 2.0)",0.257843468,0.257843468
15,"equatorial_[2.0, 3.0)",0.104735759,0.104735759
16,"equatorial_[3.0, 6.0)",0.150755227,0.150755227
17,"equatorial_[6.0, 12.0)",0.148470004,0.148470004
18,"equatorial_[12.0, 18.0)",0.075036641,0.075036641
19,"equatorial_[18.0, 24.0)",0.053780145,0.053780145
20,"equatorial_[24.0, 48.0)",0.209378756,0.209378756
21,"ocean_[1.0, 2.0)",0.198469541,0.198469541
22,"ocean_[2.0, 3.0)",0.182387989,0.182387989
23,"ocean_[3.0, 6.0)",0.080934283,0.080934283
24,"ocean_[6.0, 12.0)",0.163574121,0.163574121
25,"ocean_[12.0, 18.0)",0.070825116,0.070825116
26,"ocean_[18.0, 24.0)",0.046180159,0.046180159
27,"ocean_[24.0, 48.0)",0.257628792,0.257628792
28,"polar_[1.0, 2.0)",0.176034916,0.176034916
29,"polar_[2.0, 3.0)",0.085429145,0.085429145
30,"polar_[3.0, 6.0)",0.123307071,0.123307071
31,"polar_[6.0, 12.0)",0.14285772,0.14285772
32,"polar_[12.0, 18.0)",0.095353278,0.095353278
33,"polar_[18.0, 24.0)",0.083666775,0.083666775
34,"polar_[24.0, 48.0)",0.293351095,0.293351095
35,"warm_temperate_[1.0, 2.0)",0.270727929,0.270727929
36,"warm_temperate_[2.0, 3.0)",0.111938753,0.111938753
37,"warm_temperate_[3.0, 6.0)",0.165363484,0.165363484
38,"warm_temperate_[6.0, 12.0)",0.141039739,0.141039739
39,"warm_temperate_[12.0, 18.0)",0.076760385,0.076760385
40,"warm_temperate_[18.0, 24.0)",0.052101241,0.052101241
41,"warm_temperate_[24.0, 48.0)",0.18206847,0.18206847
