global_cluster_id,time_span,first_window,last_window,total_pixels,n_local_clusters,time_windows
1,1,2001-2010,2001-2010,117,1,2001-2010
2,1,2001-2010,2001-2010,174,1,2001-2010
3,1,2002-2011,2002-2011,108,1,2002-2011
4,2,2002-2011,2003-2012,277,2,2002-2011; 2003-2012
5,3,2002-2011,2004-2013,554,4,2002-2011; 2003-2012; 2004-2013
6,2,2003-2012,2004-2013,205,2,2003-2012; 2004-2013
7,9,2003-2012,2011-2020,1899,11,2003-2012; 2004-2013; 2005-2014; 2006-2015; 2007-2016; 2008-2017; 2009-2018; 2010-2019; 2011-2020
8,3,2003-2012,2005-2014,341,3,2003-2012; 2004-2013; 2005-2014
9,1,2003-2012,2003-2012,101,1,2003-2012
10,1,2004-2013,2004-2013,195,1,2004-2013
11,1,2004-2013,2004-2013,113,1,2004-2013
12,2,2004-2013,2005-2014,300,2,2004-2013; 2005-2014
13,1,2004-2013,2004-2013,106,1,2004-2013
14,3,2004-2013,2006-2015,627,3,2004-2013; 2005-2014; 2006-2015
15,1,2005-2014,2005-2014,131,1,2005-2014
16,1,2005-2014,2005-2014,112,1,2005-2014
17,3,2005-2014,2007-2016,587,3,2005-2014; 2006-2015; 2007-2016
18,1,2006-2015,2006-2015,156,1,2006-2015
19,1,2006-2015,2006-2015,141,1,2006-2015
20,2,2006-2015,2007-2016,306,2,2006-2015; 2007-2016
21,1,2007-2016,2007-2016,103,1,2007-2016
22,5,2007-2016,2011-2020,1431,5,2007-2016; 2008-2017; 2009-2018; 2010-2019; 2011-2020
23,1,2007-2016,2007-2016,148,1,2007-2016
24,5,2007-2016,2011-2020,1171,7,2007-2016; 2008-2017; 2009-2018; 2010-2019; 2011-2020
25,2,2008-2017,2009-2018,214,2,2008-2017; 2009-2018
26,1,2008-2017,2008-2017,134,1,2008-2017
27,1,2009-2018,2009-2018,122,1,2009-2018
28,2,2010-2019,2011-2020,281,2,2010-2019; 2011-2020
29,2,2010-2019,2011-2020,523,2,2010-2019; 2011-2020
30,1,2011-2020,2011-2020,184,1,2011-2020
31,1,2011-2020,2011-2020,106,1,2011-2020
32,1,2011-2020,2011-2020,145,1,2011-2020
